"dep"	"int"	"los"	"gai"	"dap"	"iap"	"iso"	"hso"	"agi"	"ret"	"fat"	"wor"	"con"	"dea"
0	2.1407	0.7232	0.2041	1.1296	0.5217	1.053	0.9409	0.7484	0.6849	1.0979	1.8733	1.0211	2.0693
2.1407	0	0.1766	0.2811	0.5763	0.2392	0.4273	0.5311	0.4459	0.6564	0.507	0.6826	0.8178	0.4986
0.7232	0.1766	0	-0.6082	2.984	0	0.2045	0	0	0	0	0.3772	0.1063	0.252
0.2041	0.2811	-0.6082	0	-0.5389	3.165	0.2672	0.2041	0	0	0.4112	0.5226	0	0
1.1296	0.5763	2.984	-0.5389	0	0	0.7033	0.402	0.4724	0.2219	0.2284	0.1203	0.4177	0.1198
0.5217	0.2392	0	3.165	0	0	0	0.5475	0.489	0.2914	0.4546	0	0	0.162
1.053	0.4273	0.2045	0.2672	0.7033	0	0	-0.5009	1.2951	0	0.8279	0	0.2585	0.4514
0.9409	0.5311	0	0.2041	0.402	0.5475	-0.5009	0	0	0.4048	1.4768	0.2708	0.0597	0.2151
0.7484	0.4459	0	0	0.4724	0.489	1.2951	0	0	0	0.3751	0.3893	0.9414	0.1939
0.6849	0.6564	0	0	0.2219	0.2914	0	0.4048	0	0	1.5718	0.3491	0.7233	0.1407
1.0979	0.507	0	0.4112	0.2284	0.4546	0.8279	1.4768	0.3751	1.5718	0	0.2362	0.4935	0
1.8733	0.6826	0.3772	0.5226	0.1203	0	0	0.2708	0.3893	0.3491	0.2362	0	0.666	1.4769
1.0211	0.8178	0.1063	0	0.4177	0	0.2585	0.0597	0.9414	0.7233	0.4935	0.666	0	0.2156
2.0693	0.4986	0.252	0	0.1198	0.162	0.4514	0.2151	0.1939	0.1407	0	1.4769	0.2156	0
